Printing the following information for each pair of Lorentz vectors being added to the stack: momNumber (1 or 2) || threeMom vector Cartesian (x,y,z) || threeMomSpherical (r,theta,phi) || magnitude (of 4 vector) || Energy (MeV/c)
MomNumber: 2 || Cartesian vector: (-3.18031, -29.3123, 43.42) || Spherical Vector: (52.4844, 0.596526, -1.67887) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (14.9175, -31.4634, 39.2701) || Spherical Vector: (52.4844, 0.725416, -1.12806) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-14.9175, 31.4634, -39.2701) || Spherical Vector: (52.4844, 2.41618, 2.01353) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (31.9935, -28.4555, 30.3532) || Spherical Vector: (52.4844, 0.954119, -0.726935) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-31.9935, 28.4555, -30.3532) || Spherical Vector: (52.4844, 2.18747, 2.41466) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (3.69917, -50.2579, -14.6656) || Spherical Vector: (52.4844, 1.85399, -1.49733) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-3.69917, 50.2579, 14.6656) || Spherical Vector: (52.4844, 1.2876, 1.64427) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (-38.8573, 24.4785, 25.4073) || Spherical Vector: (52.4844, 1.06547, 2.57943) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (38.8573, -24.4785, -25.4073) || Spherical Vector: (52.4844, 2.07612, -0.562158) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 1 || Cartesian vector: (7.77148, 43.6579, -28.075) || Spherical Vector: (52.4844, 2.13521, 1.39463) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
MomNumber: 2 || Cartesian vector: (-7.77148, -43.6579, 28.075) || Spherical Vector: (52.4844, 1.00638, -1.74696) || Magnitude of 4 Vector: 0.510999 || Energy: 52.4869
